start;stop;from;from_ip;server;server_dist;server_ping;download;upload;share_url
2016-03-16 17:10:01;2016-03-16 17:10:23;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;24.312 ms;91.56 Mbit/s;18.74 Mbit/s;http://www.speedtest.net/result/5173021782.png
2016-03-16 17:15:02;2016-03-16 17:15:31;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;23.438 ms;90.61 Mbit/s;18.93 Mbit/s;http://www.speedtest.net/result/5173036072.png
2016-03-16 17:20:01;2016-03-16 17:20:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.633 ms;91.74 Mbit/s;18.26 Mbit/s;http://www.speedtest.net/result/5173049600.png
2016-03-16 17:25:01;2016-03-16 17:25:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;28.514 ms;92.53 Mbit/s;18.24 Mbit/s;http://www.speedtest.net/result/5173063624.png
2016-03-16 17:30:01;2016-03-16 17:30:37;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.481 ms;81.22 Mbit/s;17.55 Mbit/s;http://www.speedtest.net/result/5173078063.png
2016-03-16 17:35:01;2016-03-16 17:35:45;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.221 ms;57.94 Mbit/s;5.85 Mbit/s;http://www.speedtest.net/result/5173092763.png
2016-03-16 17:40:01;2016-03-16 17:40:35;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.342 ms;90.30 Mbit/s;11.46 Mbit/s;http://www.speedtest.net/result/5173106524.png
2016-03-16 17:45:01;2016-03-16 17:45:32;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.09 ms;92.55 Mbit/s;19.46 Mbit/s;http://www.speedtest.net/result/5173120585.png
2016-03-16 17:50:01;2016-03-16 17:50:29;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;28.05 ms;89.69 Mbit/s;18.54 Mbit/s;http://www.speedtest.net/result/5173134593.png
2016-03-16 17:55:02;2016-03-16 17:55:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.102 ms;91.05 Mbit/s;19.53 Mbit/s;http://www.speedtest.net/result/5173148834.png
2016-03-16 18:00:01;2016-03-16 18:00:39;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;27.325 ms;92.91 Mbit/s;12.28 Mbit/s;http://www.speedtest.net/result/5173163389.png
2016-03-16 18:05:01;2016-03-16 18:05:29;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;27.442 ms;92.33 Mbit/s;16.97 Mbit/s;http://www.speedtest.net/result/5173177180.png
2016-03-16 18:10:01;2016-03-16 18:10:24;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.527 ms;90.46 Mbit/s;19.47 Mbit/s;http://www.speedtest.net/result/5173191091.png
2016-03-16 18:15:01;2016-03-16 18:15:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;23.928 ms;93.25 Mbit/s;19.51 Mbit/s;http://www.speedtest.net/result/5173205267.png
2016-03-16 18:20:01;2016-03-16 18:20:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.988 ms;93.12 Mbit/s;18.25 Mbit/s;http://www.speedtest.net/result/5173219208.png
2016-03-16 18:25:01;2016-03-16 18:25:28;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;27.567 ms;93.10 Mbit/s;19.44 Mbit/s;http://www.speedtest.net/result/5173232880.png
2016-03-16 18:30:01;2016-03-16 18:30:37;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.28 ms;86.88 Mbit/s;19.41 Mbit/s;http://www.speedtest.net/result/5173247090.png
2016-03-16 18:35:01;2016-03-16 18:35:30;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;27.542 ms;92.97 Mbit/s;19.50 Mbit/s;http://www.speedtest.net/result/5173260620.png
2016-03-16 18:40:01;2016-03-16 18:40:33;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;27.001 ms;88.02 Mbit/s;16.24 Mbit/s;http://www.speedtest.net/result/5173274429.png
2016-03-16 18:45:01;2016-03-16 18:45:31;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.008 ms;90.78 Mbit/s;19.09 Mbit/s;http://www.speedtest.net/result/5173287984.png
